phase,name,instance_oid,access,syntax,status,detail,old_value,new_value
set-readback,preemptCyclingOverlap,1.3.6.1.4.1.1206.4.2.1.6.2.1.21.1,read-write,OCTET STRING,PASS,invalid Set rejected,'','SET'
set-readback,preemptCyclingPed,1.3.6.1.4.1.1206.4.2.1.6.2.1.20.1,read-write,OCTET STRING,PASS,invalid Set rejected,'','SET'
set-readback,preemptCyclingPhase,1.3.6.1.4.1.1206.4.2.1.6.2.1.19.1,read-write,OCTET STRING,PASS,invalid Set rejected,'','SET'
set-readback,preemptDelay,1.3.6.1.4.1.1206.4.2.1.6.2.1.4.1,read-write,INTEGER (0..65535),PASS,invalid Set rejected,0,1
set-readback,preemptDwellGreen,1.3.6.1.4.1.1206.4.2.1.6.2.1.10.1,read-write,INTEGER (0..255),PASS,invalid Set rejected,10,0
set-readback,preemptDwellOverlap,1.3.6.1.4.1.1206.4.2.1.6.2.1.18.1,read-write,OCTET STRING,PASS,invalid Set rejected,'','SET'
set-readback,preemptDwellPed,1.3.6.1.4.1.1206.4.2.1.6.2.1.14.1,read-write,OCTET STRING,PASS,invalid Set rejected,'','SET'
set-readback,preemptDwellPhase,1.3.6.1.4.1.1206.4.2.1.6.2.1.13.1,read-write,OCTET STRING,PASS,invalid Set rejected,'','SET'
set-readback,preemptEnterPedClear,1.3.6.1.4.1.1206.4.2.1.6.2.1.8.1,read-write,INTEGER (0..255),PASS,invalid Set rejected,255,0
set-readback,preemptEnterRedClear,1.3.6.1.4.1.1206.4.2.1.6.2.1.23.1,read-write,INTEGER (0..255),PASS,invalid Set rejected,255,0
set-readback,preemptEnterYellowChange,1.3.6.1.4.1.1206.4.2.1.6.2.1.22.1,read-write,INTEGER (0..255),PASS,invalid Set rejected,255,0
set-readback,preemptExitPhase,1.3.6.1.4.1.1206.4.2.1.6.2.1.15.1,read-write,OCTET STRING,PASS,invalid Set rejected,'','SET'
set-readback,preemptLink,1.3.6.1.4.1.1206.4.2.1.6.2.1.3.1,read-write,INTEGER (0..255),PASS,invalid Set rejected,0,1
set-readback,preemptMaximumPresence,1.3.6.1.4.1.1206.4.2.1.6.2.1.11.1,read-write,INTEGER (0..65535),PASS,invalid Set rejected,0,1
set-readback,preemptMinimumDuration,1.3.6.1.4.1.1206.4.2.1.6.2.1.5.1,read-write,INTEGER (0..65535),PASS,invalid Set rejected,0,1
set-readback,preemptMinimumGreen,1.3.6.1.4.1.1206.4.2.1.6.2.1.6.1,read-write,INTEGER (0..255),PASS,invalid Set rejected,255,0
set-readback,preemptMinimumWalk,1.3.6.1.4.1.1206.4.2.1.6.2.1.7.1,read-write,INTEGER (0..255),PASS,invalid Set rejected,255,0
set-readback,preemptTrackGreen,1.3.6.1.4.1.1206.4.2.1.6.2.1.9.1,read-write,INTEGER (0..255),PASS,invalid Set rejected,0,1
set-readback,preemptTrackOverlap,1.3.6.1.4.1.1206.4.2.1.6.2.1.17.1,read-write,OCTET STRING,PASS,invalid Set rejected,'','SET'
set-readback,preemptTrackPhase,1.3.6.1.4.1.1206.4.2.1.6.2.1.12.1,read-write,OCTET STRING,PASS,invalid Set rejected,'','SET'
