name,kind,def_oid,inst_oid,access,syntax,default
pedestrianDetectorCallPhase,column,1.3.6.1.4.1.1206.4.2.1.2.7.1.2,1.3.6.1.4.1.1206.4.2.1.2.7.1.2.1,read-write,INTEGER (0..255),255
pedestrianDetectorNoActivity,column,1.3.6.1.4.1.1206.4.2.1.2.7.1.3,1.3.6.1.4.1.1206.4.2.1.2.7.1.3.1,read-write,INTEGER (0..255),255
pedestrianDetectorMaxPresence,column,1.3.6.1.4.1.1206.4.2.1.2.7.1.4,1.3.6.1.4.1.1206.4.2.1.2.7.1.4.1,read-write,INTEGER (0..255),255
pedestrianDetectorErraticCounts,column,1.3.6.1.4.1.1206.4.2.1.2.7.1.5,1.3.6.1.4.1.1206.4.2.1.2.7.1.5.1,read-write,INTEGER (0..255),255
pedestrianDetectorAlarms,column,1.3.6.1.4.1.1206.4.2.1.2.7.1.6,1.3.6.1.4.1.1206.4.2.1.2.7.1.6.1,read-only,INTEGER (0..255),255
unit,branch,1.3.6.1.4.1.1206.4.2.1.3,—,read-only,,—
unitStartUpFlash,scalar,1.3.6.1.4.1.1206.4.2.1.3.1,1.3.6.1.4.1.1206.4.2.1.3.1.0,read-write,INTEGER (0..255),255
unitControl,scalar,1.3.6.1.4.1.1206.4.2.1.3.10,1.3.6.1.4.1.1206.4.2.1.3.10.0,read-write,INTEGER (0..255),255
maxAlarmGroups,scalar,1.3.6.1.4.1.1206.4.2.1.3.11,1.3.6.1.4.1.1206.4.2.1.3.11.0,read-only,INTEGER(1..255),255
alarmGroupTable,table,1.3.6.1.4.1.1206.4.2.1.3.12,—,not-accessible,SEQUENCE OF AlarmGroupEntry,—
alarmGroupEntry,entry,1.3.6.1.4.1.1206.4.2.1.3.12.1,—,not-accessible,AlarmGroupEntry,—
alarmGroupNumber,column,1.3.6.1.4.1.1206.4.2.1.3.12.1.1,1.3.6.1.4.1.1206.4.2.1.3.12.1.1.1,read-only,INTEGER (1..255),1
alarmGroupState,column,1.3.6.1.4.1.1206.4.2.1.3.12.1.2,1.3.6.1.4.1.1206.4.2.1.3.12.1.2.1,read-only,INTEGER (0..255),255
maxSpecialFunctionOutputs,scalar,1.3.6.1.4.1.1206.4.2.1.3.13,1.3.6.1.4.1.1206.4.2.1.3.13.0,read-only,INTEGER (1..255),255
specialFunctionOutputTable,table,1.3.6.1.4.1.1206.4.2.1.3.14,—,not-accessible,SEQUENCE OF SpecialFunctionOutputEntry,—
specialFunctionOutputEntry,entry,1.3.6.1.4.1.1206.4.2.1.3.14.1,—,not-accessible,SpecialFunctionOutputEntry,—
specialFunctionOutputNumber,column,1.3.6.1.4.1.1206.4.2.1.3.14.1.1,1.3.6.1.4.1.1206.4.2.1.3.14.1.1.1,read-only,INTEGER (1..255),1
specialFunctionOutputControl,column,1.3.6.1.4.1.1206.4.2.1.3.14.1.3,1.3.6.1.4.1.1206.4.2.1.3.14.1.3.1,read-write,INTEGER (0..1),1
specialFunctionOutputStatus,column,1.3.6.1.4.1.1206.4.2.1.3.14.1.4,1.3.6.1.4.1.1206.4.2.1.3.14.1.4.1,read-only,INTEGER (0..1),1
unitAutoPedestrianClear,scalar,1.3.6.1.4.1.1206.4.2.1.3.2,1.3.6.1.4.1.1206.4.2.1.3.2.0,read-write,"INTEGER { disable(1), enable (2) }",2
unitBackupTime,scalar,1.3.6.1.4.1.1206.4.2.1.3.3,1.3.6.1.4.1.1206.4.2.1.3.3.0,read-write,INTEGER (0..65535),65535
unitRedRevert,scalar,1.3.6.1.4.1.1206.4.2.1.3.4,1.3.6.1.4.1.1206.4.2.1.3.4.0,read-write,INTEGER (0..255),255
unitControlStatus,scalar,1.3.6.1.4.1.1206.4.2.1.3.5,1.3.6.1.4.1.1206.4.2.1.3.5.0,read-only,"INTEGER { other (1), systemControl (2), systemStandby (3), backupMode(4), manual (5), timebase (6), interconnect (7), in",8
unitFlashStatus,scalar,1.3.6.1.4.1.1206.4.2.1.3.6,1.3.6.1.4.1.1206.4.2.1.3.6.0,read-only,"INTEGER { other(1), notFlash(2), automatic(3), localManual(4), faultMonitor(5), mmu(6), startup(7), preempt (8)}",8
unitAlarmStatus2,scalar,1.3.6.1.4.1.1206.4.2.1.3.7,1.3.6.1.4.1.1206.4.2.1.3.7.0,read-only,INTEGER (0..255),255
unitAlarmStatus1,scalar,1.3.6.1.4.1.1206.4.2.1.3.8,1.3.6.1.4.1.1206.4.2.1.3.8.0,read-only,INTEGER (0..255),255
shortAlarmStatus,scalar,1.3.6.1.4.1.1206.4.2.1.3.9,1.3.6.1.4.1.1206.4.2.1.3.9.0,read-only,INTEGER (0..255),255
coord,branch,1.3.6.1.4.1.1206.4.2.1.4,—,read-only,,—
coordOperationalMode,scalar,1.3.6.1.4.1.1206.4.2.1.4.1,1.3.6.1.4.1.1206.4.2.1.4.1.0,read-write,INTEGER (0..255),255
coordPatternStatus,scalar,1.3.6.1.4.1.1206.4.2.1.4.10,1.3.6.1.4.1.1206.4.2.1.4.10.0,read-only,INTEGER (0..255),255
localFreeStatus,scalar,1.3.6.1.4.1.1206.4.2.1.4.11,1.3.6.1.4.1.1206.4.2.1.4.11.0,read-only,"INTEGER { other(1), notFree(2), commandFree(3), transitionFree(4), inputFree(5), coordFree(6), badPlan(7), badCycleTime(",11
coordCycleStatus,scalar,1.3.6.1.4.1.1206.4.2.1.4.12,1.3.6.1.4.1.1206.4.2.1.4.12.0,read-only,INTEGER (0..510),510
coordSyncStatus,scalar,1.3.6.1.4.1.1206.4.2.1.4.13,1.3.6.1.4.1.1206.4.2.1.4.13.0,read-only,INTEGER (0..510),510
systemPatternControl,scalar,1.3.6.1.4.1.1206.4.2.1.4.14,1.3.6.1.4.1.1206.4.2.1.4.14.0,read-write,INTEGER (0..255),255
systemSyncControl,scalar,1.3.6.1.4.1.1206.4.2.1.4.15,1.3.6.1.4.1.1206.4.2.1.4.15.0,read-write,INTEGER (0..255),255
coordCorrectionMode,scalar,1.3.6.1.4.1.1206.4.2.1.4.2,1.3.6.1.4.1.1206.4.2.1.4.2.0,read-write,"INTEGER { other (1), dwell (2), shortway (3), addOnly (4) }",4
coordMaximumMode,scalar,1.3.6.1.4.1.1206.4.2.1.4.3,1.3.6.1.4.1.1206.4.2.1.4.3.0,read-write,"INTEGER { other (1), maximum1 (2), maximum2 (3), maxInhibit (4) }",4
coordForceMode,scalar,1.3.6.1.4.1.1206.4.2.1.4.4,1.3.6.1.4.1.1206.4.2.1.4.4.0,read-write,"INTEGER { other(1), floating (2), fixed (3) }",3
maxPatterns,scalar,1.3.6.1.4.1.1206.4.2.1.4.5,1.3.6.1.4.1.1206.4.2.1.4.5.0,read-only,INTEGER (1..253),253
patternTableType,scalar,1.3.6.1.4.1.1206.4.2.1.4.6,1.3.6.1.4.1.1206.4.2.1.4.6.0,read-only,"INTEGER { other (1), patterns (2), offset3 (3), offset5 (4) }",4
patternTable,table,1.3.6.1.4.1.1206.4.2.1.4.7,—,not-accessible,SEQUENCE OF PatternEntry,—
patternEntry,entry,1.3.6.1.4.1.1206.4.2.1.4.7.1,—,not-accessible,PatternEntry,—
patternNumber,column,1.3.6.1.4.1.1206.4.2.1.4.7.1.1,1.3.6.1.4.1.1206.4.2.1.4.7.1.1.1,read-only,INTEGER (1..253),1
patternCycleTime,column,1.3.6.1.4.1.1206.4.2.1.4.7.1.2,1.3.6.1.4.1.1206.4.2.1.4.7.1.2.1,read-write,INTEGER (0..255),255
patternOffsetTime,column,1.3.6.1.4.1.1206.4.2.1.4.7.1.3,1.3.6.1.4.1.1206.4.2.1.4.7.1.3.1,read-write,INTEGER (0..255),255
patternSplitNumber,column,1.3.6.1.4.1.1206.4.2.1.4.7.1.4,1.3.6.1.4.1.1206.4.2.1.4.7.1.4.1,read-only,INTEGER (1..255),255
patternSequenceNumber,column,1.3.6.1.4.1.1206.4.2.1.4.7.1.5,1.3.6.1.4.1.1206.4.2.1.4.7.1.5.1,read-write,INTEGER (1..255),255
maxSplits,scalar,1.3.6.1.4.1.1206.4.2.1.4.8,1.3.6.1.4.1.1206.4.2.1.4.8.0,read-only,INTEGER (1..255),255
splitTable,table,1.3.6.1.4.1.1206.4.2.1.4.9,—,not-accessible,SEQUENCE OF SplitEntry,—
splitEntry,entry,1.3.6.1.4.1.1206.4.2.1.4.9.1,—,not-accessible,SplitEntry,—
splitNumber,column,1.3.6.1.4.1.1206.4.2.1.4.9.1.1,1.3.6.1.4.1.1206.4.2.1.4.9.1.1.1.1,read-only,INTEGER (1..255),1
splitPhase,column,1.3.6.1.4.1.1206.4.2.1.4.9.1.2,1.3.6.1.4.1.1206.4.2.1.4.9.1.2.1.1,read-only,INTEGER (1..255),1
splitTime,column,1.3.6.1.4.1.1206.4.2.1.4.9.1.3,1.3.6.1.4.1.1206.4.2.1.4.9.1.3.1.1,read-write,INTEGER (0..255),255
splitMode,column,1.3.6.1.4.1.1206.4.2.1.4.9.1.4,1.3.6.1.4.1.1206.4.2.1.4.9.1.4.1.1,read-write,"INTEGER { other(1), none (2), minimumVehicleRecall (3), maximumVehicleRecall (4), pedestrianRecall (5), maximumVehicleAn",7
splitCoordPhase,column,1.3.6.1.4.1.1206.4.2.1.4.9.1.5,1.3.6.1.4.1.1206.4.2.1.4.9.1.5.1.1,read-write,INTEGER (0..1),1
timebaseAsc,branch,1.3.6.1.4.1.1206.4.2.1.5,—,read-only,,—
timebaseAscPatternSync,scalar,1.3.6.1.4.1.1206.4.2.1.5.1,1.3.6.1.4.1.1206.4.2.1.5.1.0,read-write,INTEGER (0..65535),65535
maxTimebaseAscActions,scalar,1.3.6.1.4.1.1206.4.2.1.5.2,1.3.6.1.4.1.1206.4.2.1.5.2.0,read-only,INTEGER (1..255),255
